Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Doncaster,5/333 George St,3,unit,772000,property sold,Barry,10/12/2016,13.9,3108,3,2,1.0,203,109.0,1986.0,Manningham,Eastern Metropolitan,9028
Doncaster,28 Dunoon St,4,house,1468000,property sold,Ray,12/11/2016,13.9,3108,4,2,2.0,806,170.0,1975.0,Manningham,Eastern Metropolitan,9028
Doncaster,1/10 Madeleine St,4,unit,753000,property sold,Barry,13/08/2016,13.9,3108,3,1,1.0,241,105.0,1970.0,Manningham,Eastern Metropolitan,9028
Doncaster,18c High St,3,townhouse,746000,property sold,hockingstuart,15/10/2016,13.9,3108,3,2,2.0,118,106.0,2013.0,Manningham,Eastern Metropolitan,9028
Doncaster,19 Gilmore Rd,3,house,1485000,property sold,Barry,16/04/2016,13.9,3108,3,2,2.0,731,140.0,1960.0,Manningham,Eastern Metropolitan,9028
Doncaster,22 Menarra St,3,house,1190000,property sold,Ray,16/04/2016,13.9,3108,3,1,1.0,658,140.0,1960.0,Manningham,Eastern Metropolitan,9028
Doncaster,31 Massey St,3,house,900000,property passed in,Ray,16/07/2016,13.9,3108,2,2,2.0,366,150.0,2013.0,Manningham,Eastern Metropolitan,9028
Doncaster,4 Benton Ct,3,house,1250000,property passed in,Jellis,17/09/2016,13.9,3108,3,2,1.0,728,150.0,1965.0,Manningham,Eastern Metropolitan,9028
Doncaster,2 Louise Ct,3,house,1030000,property sold,Ray,17/09/2016,13.9,3108,3,1,1.0,827,100.0,1960.0,Manningham,Eastern Metropolitan,9028
Doncaster,4/98 Church Rd,4,townhouse,985000,property sold,Fletchers,18/03/2017,13.9,3108,4,2,2.0,182,160.0,1998.0,Manningham,Eastern Metropolitan,9028
Doncaster,15 Glenda St,3,house,1300000,property sold,Jellis,18/03/2017,13.9,3108,3,1,2.0,651,119.0,1970.0,Manningham,Eastern Metropolitan,9028
Doncaster,46 Winston Dr,4,house,1462500,property sold,Philip,18/06/2016,13.9,3108,4,3,2.0,654,160.0,1969.0,Manningham,Eastern Metropolitan,9028
Doncaster,24 Outlook Dr,3,house,1250000,property passed in,Fletchers,19/11/2016,13.9,3108,3,2,2.0,900,195.0,1970.0,Manningham,Eastern Metropolitan,9028
Doncaster,7 Reddan Ct,4,house,1460800,property sold prior,Jellis,19/11/2016,13.9,3108,4,3,2.0,654,305.0,1970.0,Manningham,Eastern Metropolitan,9028
Doncaster,18 Roseland Gr,3,house,1152500,property sold,Barry,19/11/2016,13.9,3108,3,2,2.0,648,129.0,1980.0,Manningham,Eastern Metropolitan,9028
Doncaster,5 Iskandar Pl,5,house,1650000,vendor bid,Jellis,22/05/2016,13.9,3108,5,4,2.0,500,429.0,2007.0,Manningham,Eastern Metropolitan,9028
Doncaster,741 Elgar Rd,3,house,1391000,property sold,Ray,23/04/2016,13.9,3108,3,1,1.0,764,175.0,1965.0,Manningham,Eastern Metropolitan,9028
Doncaster,4/20 Wetherby Rd,2,unit,452000,property sold,Parkes,23/04/2016,13.9,3108,2,1,1.0,67,68.0,1975.0,Manningham,Eastern Metropolitan,9028
Doncaster,3/103 Church Rd,3,townhouse,1102200,property sold prior,Jellis,25/02/2017,13.9,3108,3,2,2.0,233,175.0,2012.0,Manningham,Eastern Metropolitan,9028
Doncaster,378 Manningham Rd,4,house,1401000,property sold,RW,25/02/2017,13.9,3108,4,3,2.0,650,261.0,1970.0,Manningham,Eastern Metropolitan,9028
Doncaster,5 Robin Ct,4,house,1782000,property sold,Barry,25/02/2017,13.9,3108,4,3,3.0,586,306.0,2002.0,Manningham,Eastern Metropolitan,9028
Doncaster,12 Norfolk Cct,4,house,1520000,property sold,Barry,26/07/2016,13.9,3108,4,3,2.0,657,275.0,2010.0,Manningham,Eastern Metropolitan,9028
Doncaster,13b Outlook Dr,3,house,878000,property sold,Barry,27/06/2016,13.9,3108,3,2,2.0,0,163.0,2001.0,Manningham,Eastern Metropolitan,9028
Doncaster,3/11 Frank St,4,townhouse,973500,property sold,Ray,27/11/2016,13.9,3108,4,2,2.0,234,160.0,2009.0,Manningham,Eastern Metropolitan,9028
Doncaster,183a High St,3,unit,751800,property sold prior,Jellis,27/11/2016,13.9,3108,3,1,2.0,109,120.0,2001.0,Manningham,Eastern Metropolitan,9028
Doncaster,8 Howard Ct,3,house,1100000,vendor bid,Vic,27/11/2016,13.9,3108,3,2,2.0,771,169.0,1960.0,Manningham,Eastern Metropolitan,9028
Doncaster,394 Manningham Rd,3,house,1202000,property sold,Barry,27/11/2016,13.9,3108,3,2,2.0,649,150.0,1965.0,Manningham,Eastern Metropolitan,9028
Doncaster,25 Outlook Dr,3,house,1362000,property sold,Philip,27/11/2016,13.9,3108,3,1,2.0,798,132.0,1960.0,Manningham,Eastern Metropolitan,9028
Doncaster,7 Botanic Dr,4,house,1810000,property sold,Jellis,28/05/2016,13.9,3108,4,2,4.0,769,240.0,1970.0,Manningham,Eastern Metropolitan,9028
Eaglemont,6 Ashby Gr,5,house,1901000,property sold,Nelson,10/9/2016,10.3,3084,3,2,2.0,963,225.0,1925.0,Banyule,Eastern Metropolitan,1651
Eaglemont,76 Castle St,4,house,1650000,vendor bid,Miles,10/9/2016,10.3,3084,4,3,2.0,724,327.0,1940.0,Banyule,Eastern Metropolitan,1651
Eaglemont,27 Glen Dr,3,house,1816000,property sold,Nelson,12/11/2016,10.3,3084,3,1,2.0,846,180.0,1955.0,Banyule,Eastern Metropolitan,1651
Eaglemont,1/16 Cape St,2,unit,525000,property sold,Miles,14/05/2016,10.3,3084,2,1,1.0,79,70.0,1970.0,Banyule,Eastern Metropolitan,1651
Eaglemont,61 Glenard Dr,4,house,2050000,property sold,Miles,15/10/2016,10.3,3084,4,3,2.0,723,290.0,1950.0,Banyule,Eastern Metropolitan,1651
Eaglemont,47 Ormond Rd,5,house,1930000,property sold,Miles,15/10/2016,10.3,3084,5,2,1.0,939,236.0,1930.0,Banyule,Eastern Metropolitan,1651
Eaglemont,14 Cumberland St,4,house,2600000,vendor bid,Nelson,18/06/2016,10.3,3084,3,2,3.0,871,322.0,1937.0,Banyule,Eastern Metropolitan,1651
Eaglemont,2/12 Ashby Gr,2,unit,600000,property sold prior,Miles,23/04/2016,10.3,3084,2,1,1.0,112,95.0,1970.0,Banyule,Eastern Metropolitan,1651
Eaglemont,34 Durham St,3,house,1601000,property sold,Miles,26/07/2016,10.3,3084,3,1,1.0,872,136.0,1960.0,Banyule,Eastern Metropolitan,1651
Eaglemont,107 Banksia St,3,house,1100000,vendor bid,Holland,27/06/2016,10.3,3084,3,2,1.0,555,300.0,1988.0,Banyule,Eastern Metropolitan,1651
Eaglemont,8 Outlook Dr,4,house,2550000,vendor bid,Miles,27/11/2016,10.3,3084,4,2,2.0,1484,478.0,1970.0,Banyule,Eastern Metropolitan,1651
Eaglemont,2/84 The Righi,3,unit,1190000,property sold,Miles,27/11/2016,10.3,3084,3,2,2.0,0,148.0,1975.0,Banyule,Eastern Metropolitan,1651
Eaglemont,13 Warne St,4,house,2012000,property sold,Nelson,27/11/2016,10.3,3084,4,3,2.0,597,245.0,1940.0,Banyule,Eastern Metropolitan,1651
Eaglemont,20 Glenard Dr,4,house,2309000,property sold,Nelson,28/08/2016,10.3,3084,4,3,2.0,1177,291.0,1960.0,Banyule,Eastern Metropolitan,1651
Elsternwick,30 Ross St,2,house,900000,vendor bid,Gary,3/9/2016,8.5,3185,2,1,2.0,239,110.0,1940.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,393 Kooyong Rd,3,house,1625000,property sold,Biggin,3/12/2016,8.5,3185,3,2,2.0,447,181.0,1920.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,8 Ross St,4,house,1100000,vendor bid,hockingstuart,3/12/2016,8.5,3185,4,2,0.0,147,159.0,1910.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,4 Buxton St,3,house,1755000,property sold,Gary,7/5/2016,8.5,3185,3,2,1.0,391,173.0,1905.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,44 Hartington St,4,house,1400000,property sold prior,Biggin,7/5/2016,8.5,3185,4,1,1.0,489,150.0,1910.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,1/34 Clarence St,3,unit,1240000,property sold,Hodges,7/11/2016,8.5,3185,3,2,2.0,319,123.0,1990.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,4/585 Glen Huntly Rd,2,unit,591000,property sold,Buxton,10/12/2016,8.5,3185,2,1,1.0,815,62.0,2008.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,14/18 King St,2,unit,537000,property sold,Biggin,10/12/2016,8.5,3185,2,1,1.0,0,79.0,1970.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,3/26 Ross St,3,house,800000,vendor bid,Hodges,10/12/2016,8.5,3185,3,2,2.0,331,112.0,2010.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,12 Rusden St,3,house,965000,property passed in,Biggin,10/12/2016,8.5,3185,3,1,2.0,275,119.0,1900.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,2/21 Gisborne St,2,house,1160000,property sold prior,Chisholm,12/11/2016,8.5,3185,2,2,2.0,155,137.0,2011.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,11/39 Horne St,3,townhouse,820000,vendor bid,McGrath,12/11/2016,8.5,3185,3,2,2.0,108,3.0,2002.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,17 Staniland Gr,4,house,2600000,property sold,Biggin,13/08/2016,8.5,3185,4,2,2.0,527,184.0,1880.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,3/477 Kooyong Rd,3,townhouse,1071000,property sold,Biggin,16/04/2016,8.5,3185,3,2,2.0,179,125.0,2000.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,21 Liscard St,3,house,1800000,property sold,Biggin,16/04/2016,8.5,3185,3,2,2.0,492,181.0,1905.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,2 Park St,3,house,2345000,property sold,Biggin,16/04/2016,8.5,3185,3,2,1.0,419,204.0,1908.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,5/16 St Georges Rd,2,unit,741000,property sold,Biggin,16/04/2016,8.5,3185,3,1,1.0,0,1561.0,1966.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,12/66 Riddell Pde,2,unit,626000,property sold,Gary,17/09/2016,8.5,3185,2,1,1.0,1764,100.0,1930.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,9 Ripon Gr,4,house,1650000,property passed in,Biggin,18/06/2016,8.5,3185,1,3,2.0,386,185.0,1913.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,17/39 Horne St,3,townhouse,850000,property passed in,Scott,19/11/2016,8.5,3185,3,2,2.0,108,142.0,2000.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,87 Orrong Rd,3,house,1750000,vendor bid,Buxton,19/11/2016,8.5,3185,3,2,2.0,517,207.0,1900.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,31 Prentice St,3,house,1450000,property sold,Biggin,19/11/2016,8.5,3185,3,1,2.0,351,108.0,1915.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,20 Shoobra Rd,4,house,2806000,property sold,Biggin,19/11/2016,8.5,3185,4,3,2.0,669,255.0,1930.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,1/28 Clarence St,3,unit,782000,property sold,Gary,22/05/2016,8.5,3185,3,1,1.0,0,95.0,1970.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,5/39 Horne St,4,house,1007000,property sold,Pride,22/05/2016,8.5,3185,4,2,2.0,125,200.0,2000.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,3 Clarence St,4,house,1450000,property passed in,Biggin,22/08/2016,8.5,3185,4,2,2.0,376,192.0,1917.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,37/2 Gordon St,2,unit,500000,property sold,Gary,22/08/2016,8.5,3185,1,1,1.0,0,59.0,2006.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,53 Shoobra Rd,4,house,2600000,property sold prior,Biggin,22/08/2016,8.5,3185,5,3,2.0,701,273.0,1885.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,22 Ross St,2,house,895000,property sold,Owen,23/04/2016,8.5,3185,2,1,1.0,147,81.0,1915.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,22 Carlingford St,4,house,2050000,property passed in,Biggin,27/06/2016,8.5,3185,3,3,2.0,420,270.0,2016.0,Glen Eira,Southern Metropolitan,4898
Elsternwick,275 Kooyong Rd,3,house,1605000,property sold,Biggin,27/11/2016,8.5,3185,3,1,1.0,418,152.0,1890.0,Glen Eira,Southern Metropolitan,4898
Elwood,8/44 Southey St,1,unit,520000,property sold,Chisholm,3/9/2016,7.7,3184,1,1,1.0,0,51.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/131 Brighton Rd,2,unit,507000,property sold,Morleys,3/12/2016,7.7,3184,2,1,1.0,0,79.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,6/217 Brighton Rd,2,unit,525000,property sold,Wilson,3/12/2016,7.7,3184,2,1,1.0,553,83.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,4/6 May St,2,unit,750000,property sold,Gary,3/12/2016,7.7,3184,2,1,1.0,0,71.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,10/125 Ormond Rd,1,unit,510000,property sold,Chisholm,3/12/2016,7.7,3184,1,1,1.0,0,60.0,2001.0,Port Phillip,Southern Metropolitan,8989
Elwood,14/9 Southey St,1,unit,300000,property sold,hockingstuart,3/12/2016,7.7,3184,1,1,0.0,0,33.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,4 Wilton Gr,3,townhouse,1395000,property sold,Pride,4/2/2016,7.7,3184,3,2,1.0,400,126.0,1996.0,Port Phillip,Southern Metropolitan,8989
Elwood,12/27 Dickens St,2,unit,855000,property sold,hockingstuart,4/3/2017,7.7,3184,2,1,1.0,1966,85.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,8/203 Brighton Rd,2,unit,790000,property sold,Marshall,4/6/2016,7.7,3184,2,1,2.0,0,85.0,1940.0,Port Phillip,Southern Metropolitan,8989
Elwood,9/63 Ormond Rd,2,unit,550000,property sold,Buxton/Advantage,6/8/2016,7.7,3184,2,1,1.0,0,68.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,7/8 John St,1,unit,357000,property sold,Chisholm,7/5/2016,7.7,3184,1,1,1.0,0,50.0,1965.0,Port Phillip,Southern Metropolitan,8989
Elwood,7 Moore St,2,house,1210000,property sold,Pride,7/11/2016,7.7,3184,2,1,0.0,163,92.0,1890.0,Port Phillip,Southern Metropolitan,8989
Elwood,5/3 Ruskin St,2,unit,825000,property sold,McGrath,7/11/2016,7.7,3184,2,1,2.0,0,86.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,31 Shelley St,3,house,1050000,vendor bid,Chisholm,7/11/2016,7.7,3184,3,1,0.0,257,138.0,1920.0,Port Phillip,Southern Metropolitan,8989
Elwood,1/99 Spray St,2,unit,632000,property passed in,hockingstuart,7/11/2016,7.7,3184,2,1,1.0,0,54.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/147 Glen Huntly Rd,1,unit,485000,property sold,Buxton,8/10/2016,7.7,3184,1,1,1.0,0,43.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/6 Southey St,2,unit,575000,property passed in,Chisholm,8/10/2016,7.7,3184,2,1,0.0,483,57.0,1950.0,Port Phillip,Southern Metropolitan,8989
Elwood,6/43 Milton St,2,unit,590000,property passed in,McGrath,10/9/2016,7.7,3184,2,1,1.0,0,77.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,76 Byron St,3,house,1238000,property sold,Buxton,11/2/2017,7.7,3184,3,2,1.0,116,119.0,1996.0,Port Phillip,Southern Metropolitan,8989
Elwood,7/122 Glen Huntly Rd,2,unit,510000,property passed in,hockingstuart,11/3/2017,7.7,3184,2,1,1.0,0,62.0,1950.0,Glen Eira,Southern Metropolitan,8989
Elwood,32 Burns St,4,house,1875000,property sold,Pride,12/11/2016,7.7,3184,4,2,0.0,223,173.0,1910.0,Port Phillip,Southern Metropolitan,8989
Elwood,22/29 Dickens St,3,unit,780000,property sold,Chisholm,12/11/2016,7.7,3184,3,1,1.0,0,100.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/509 St Kilda St,3,house,878500,property sold,hockingstuart,12/11/2016,7.7,3184,3,2,1.0,75,122.0,2002.0,Port Phillip,Southern Metropolitan,8989
Elwood,5 Tiuna Gr,3,house,3572000,property sold,Marshall,12/11/2016,7.7,3184,4,2,6.0,737,207.0,1915.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/21 Milton St,2,unit,560000,property passed in,Jellis,16/04/2016,7.7,3184,2,1,0.0,0,70.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,4/41 Shelley St,2,unit,765000,property sold,Marshall,16/04/2016,7.7,3184,2,1,0.0,0,88.0,1940.0,Port Phillip,Southern Metropolitan,8989
Elwood,3/145 Glen Huntly Rd,2,unit,670000,property sold,Buxton,16/07/2016,7.7,3184,2,2,1.0,0,84.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,2 Docker St,3,house,1625000,property sold,McGrath,17/09/2016,7.7,3184,3,2,1.0,246,133.0,1950.0,Port Phillip,Southern Metropolitan,8989
Elwood,13/9 Milton St,2,unit,1122000,property sold prior,Biggin,17/09/2016,7.7,3184,2,2,1.0,0,104.0,1923.0,Port Phillip,Southern Metropolitan,8989
Elwood,6 Daley St,4,house,2400000,property passed in,Marshall,18/06/2016,7.7,3184,4,2,2.0,560,185.0,1920.0,Port Phillip,Southern Metropolitan,8989
Elwood,7/435 St Kilda St,2,unit,655000,property passed in,Biggin,18/06/2016,7.7,3184,2,1,1.0,0,70.0,1965.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/129 Brighton Rd,2,unit,684000,property sold prior,McGrath,19/11/2016,7.7,3184,2,1,0.0,0,98.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,6/26 Ruskin St,2,unit,500000,vendor bid,Wilson,22/05/2016,7.7,3184,2,1,1.0,0,63.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,5/106 Addison St,2,unit,680000,property sold prior,Chisholm,24/09/2016,7.7,3184,2,1,1.0,0,67.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,5/9 Dickens St,2,unit,600000,property sold,hockingstuart,24/09/2016,7.7,3184,2,1,1.0,0,75.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,7/76 Mitford St,1,unit,370000,property passed in,Hodges,24/09/2016,7.7,3184,1,1,1.0,0,51.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,3/211 Brighton Rd,1,unit,390000,vendor bid,hockingstuart,25/02/2017,7.7,3184,1,1,1.0,644,47.0,1960.0,Port Phillip,Southern Metropolitan,8989
Elwood,8/68 Goldsmith St,2,unit,630000,property passed in,Hodges,25/02/2017,7.7,3184,2,1,1.0,0,70.0,1935.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/4 Southey Ct,2,unit,640000,property sold,Gary,25/02/2017,7.7,3184,2,1,0.0,0,80.0,1940.0,Port Phillip,Southern Metropolitan,8989
Elwood,201/115 Tennyson St,2,unit,932000,property sold,Gary,25/02/2017,7.7,3184,2,2,1.0,799,110.0,2012.0,Port Phillip,Southern Metropolitan,8989
Elwood,7/9 Tiuna Gr,2,unit,645000,property sold,hockingstuart,25/02/2017,7.7,3184,2,1,1.0,0,75.0,1975.0,Port Phillip,Southern Metropolitan,8989
Elwood,1/6 Wave St,1,unit,347000,property sold,Gary,25/02/2017,7.7,3184,1,1,1.0,0,37.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,3/1 Garden Ct,2,unit,875000,property sold prior,Chisholm,26/07/2016,7.7,3184,2,1,1.0,0,83.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,7/25 Kingsley St,2,unit,582500,property sold prior,Chisholm,26/07/2016,7.7,3184,2,1,1.0,0,65.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,2/99 Spray St,2,unit,570000,property sold,McGrath,26/07/2016,7.7,3184,2,1,1.0,0,50.0,1940.0,Port Phillip,Southern Metropolitan,8989
Elwood,53 Addison St,4,house,1875000,vendor bid,Chisholm,27/06/2016,7.7,3184,3,3,0.0,235,211.0,2005.0,Port Phillip,Southern Metropolitan,8989
Elwood,3/58 Byron St,1,unit,340000,property sold prior,Buxton,27/06/2016,7.7,3184,1,1,1.0,0,42.0,1970.0,Port Phillip,Southern Metropolitan,8989
Elwood,78 Dickens St,4,house,2200000,property passed in,Wilson,27/06/2016,7.7,3184,4,3,2.0,348,218.0,1900.0,Port Phillip,Southern Metropolitan,8989
Elwood,1/127 Glen Huntly Rd,2,unit,687500,property sold,Marshall,27/06/2016,7.7,3184,2,1,1.0,0,69.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,6/115 Brighton Rd,2,unit,730000,property sold,Chisholm,27/11/2016,7.7,3184,2,1,1.0,0,85.0,1940.0,Port Phillip,Southern Metropolitan,8989
Elwood,10/229 Brighton Rd,2,unit,526000,property sold,Chisholm,27/11/2016,7.7,3184,2,1,0.0,0,47.0,1930.0,Port Phillip,Southern Metropolitan,8989
Elwood,4/79 Mitford St,3,townhouse,920000,property passed in,McGrath,27/11/2016,7.7,3184,3,2,2.0,758,18.0,2010.0,Port Phillip,Southern Metropolitan,8989
Elwood,32 Milton St,3,house,1830000,property sold,Chisholm,28/05/2016,7.7,3184,3,2,2.0,374,162.0,1925.0,Port Phillip,Southern Metropolitan,8989
Essendon,6 Buckley St,3,house,1425000,property sold,Jellis,3/9/2016,8.0,3040,3,2,2.0,684,147.0,1950.0,Moonee Valley,Western Metropolitan,9264
Essendon,1/28 Gilbertson St,2,unit,660000,property sold,Barry,3/9/2016,8.0,3040,2,1,1.0,263,113.0,1980.0,Moonee Valley,Western Metropolitan,9264
Essendon,3/85 Tennyson St,2,unit,550000,vendor bid,Nelson,3/9/2016,8.0,3040,2,1,1.0,0,83.0,1980.0,Moonee Valley,Western Metropolitan,9264
Essendon,16 Kendall St,3,house,1295000,property passed in,Nelson,3/12/2016,8.0,3040,3,1,3.0,688,105.0,1930.0,Moonee Valley,Western Metropolitan,9264
Essendon,3/113 Tennyson St,2,townhouse,595000,property sold,Frank,3/12/2016,8.0,3040,2,1,2.0,752,89.0,1990.0,Moonee Valley,Western Metropolitan,9264
Essendon,2/96 Cooper St,3,house,911000,property sold,Rendina,4/2/2016,8.0,3040,3,2,2.0,225,98.0,2008.0,Moonee Valley,Western Metropolitan,9264
Essendon,15 Albion St,4,house,900000,property sold prior,Nelson,4/3/2017,8.0,3040,4,2,1.0,288,210.0,1980.0,Moonee Valley,Western Metropolitan,9264
Essendon,1/9 Ardoch St,2,unit,645000,property sold,Nelson,4/3/2017,8.0,3040,2,1,1.0,0,76.0,1980.0,Moonee Valley,Western Metropolitan,9264
Essendon,3/10 Kendall St,2,unit,702500,property sold,Nelson,4/3/2017,8.0,3040,2,1,1.0,168,77.0,2008.0,Moonee Valley,Western Metropolitan,9264
Essendon,76 Ogilvie St,3,house,960000,property sold,Brad,4/3/2017,8.0,3040,3,1,2.0,549,106.0,1950.0,Moonee Valley,Western Metropolitan,9264
Essendon,32 Vanberg Rd,4,house,1670000,property sold,Nelson,4/3/2017,8.0,3040,4,2,1.0,291,183.0,1920.0,Moonee Valley,Western Metropolitan,9264
Essendon,242 Buckley St,3,house,1100000,vendor bid,Nelson,4/6/2016,8.0,3040,3,2,1.0,789,257.0,1890.0,Moonee Valley,Western Metropolitan,9264
Essendon,55 Richardson St,4,house,1800000,property sold,Nelson,4/6/2016,8.0,3040,3,2,2.0,648,215.0,1910.0,Moonee Valley,Western Metropolitan,9264
Essendon,33 Deakin St,4,townhouse,1250000,property passed in,Frank,6/8/2016,8.0,3040,3,3,2.0,374,267.0,2015.0,Moonee Valley,Western Metropolitan,9264
Essendon,45 Ogilvie St,2,house,1130000,property sold prior,Barry,7/5/2016,8.0,3040,2,1,1.0,646,100.0,1950.0,Moonee Valley,Western Metropolitan,9264
Essendon,1/10 Loeman St,2,unit,370000,property passed in,Hodges,7/11/2016,8.0,3040,2,1,3.0,0,55.0,1975.0,Moonee Valley,Western Metropolitan,9264
Essendon,65 Napier St,3,house,1467000,property sold,Greg,7/11/2016,8.0,3040,3,2,2.0,188,171.0,1900.0,Moonee Valley,Western Metropolitan,9264
Essendon,59 Hedderwick St,5,house,2800000,property passed in,Nelson,8/10/2016,8.0,3040,5,4,6.0,877,378.0,2005.0,Moonee Valley,Western Metropolitan,9264
Essendon,22 Nimmo St,4,house,1160000,property sold,Nelson,10/9/2016,8.0,3040,4,3,2.0,256,217.0,2015.0,Moonee Valley,Western Metropolitan,9264
Essendon,8 Monica St,6,house,2620000,property sold,Brad,10/12/2016,8.0,3040,6,4,2.0,860,355.0,1930.0,Moonee Valley,Western Metropolitan,9264
Essendon,82 Price St,3,house,1226000,property sold,Nelson,10/12/2016,8.0,3040,3,1,3.0,533,125.0,1955.0,Moonee Valley,Western Metropolitan,9264
Essendon,26 Bradshaw St,4,house,1402000,property sold,Nelson,11/2/2017,8.0,3040,4,2,1.0,554,193.0,1940.0,Moonee Valley,Western Metropolitan,9264
Essendon,62 Mary St,3,house,855000,property sold,Nelson,12/6/2016,8.0,3040,3,1,2.0,396,116.0,1950.0,Moonee Valley,Western Metropolitan,9264
Essendon,74 Forrester St,4,house,1275000,property sold,Brad,12/11/2016,8.0,3040,4,2,2.0,503,160.0,2008.0,Moonee Valley,Western Metropolitan,9264
Essendon,125a Ogilvie St,4,house,1590000,property sold,Nelson,12/11/2016,8.0,3040,4,3,1.0,475,272.0,2007.0,Moonee Valley,Western Metropolitan,9264
Essendon,4/6 Riverview Rd,2,unit,606000,property sold,McDonald,12/11/2016,8.0,3040,2,1,2.0,0,93.0,1972.0,Moonee Valley,Western Metropolitan,9264
Essendon,18 Vanberg Rd,3,house,1385000,property sold,McDonald,12/11/2016,8.0,3040,3,2,1.0,619,137.0,1930.0,Moonee Valley,Western Metropolitan,9264
Essendon,159 Cooper St,3,townhouse,650000,property sold,Barry,13/08/2016,8.0,3040,3,2,1.0,160,129.0,1985.0,Moonee Valley,Western Metropolitan,9264
Essendon,5/322 Buckley St,2,unit,460000,property sold,Nelson,14/05/2016,8.0,3040,2,1,1.0,0,72.0,1960.0,Moonee Valley,Western Metropolitan,9264
Essendon,54 Ogilvie St,3,townhouse,1000000,vendor bid,Brad,14/05/2016,8.0,3040,3,2,1.0,291,224.0,2013.0,Moonee Valley,Western Metropolitan,9264
Essendon,2/16 Braemar St,2,unit,520000,vendor bid,Barry,15/10/2016,8.0,3040,2,1,2.0,0,73.0,1975.0,Moonee Valley,Western Metropolitan,9264
Essendon,124c Hoffmans Rd,3,townhouse,720000,property sold,Frank,15/10/2016,8.0,3040,3,1,2.0,190,142.0,1999.0,Moonee Valley,Western Metropolitan,9264
Essendon,33 McCarron Pde,4,house,1635000,vendor bid,Nelson,15/10/2016,8.0,3040,4,1,2.0,638,227.0,1900.0,Moonee Valley,Western Metropolitan,9264
Essendon,13/947 Mt Alexander Rd,2,unit,485000,property sold prior,Pagan,15/10/2016,8.0,3040,2,1,1.0,0,73.0,2010.0,Moonee Valley,Western Metropolitan,9264
Essendon,2 Cooke St,5,house,1575000,property passed in,Brad,16/04/2016,8.0,3040,5,3,2.0,700,454.0,1988.0,Moonee Valley,Western Metropolitan,9264
